Sample,dn01,dn02,dn03,dn04,dn05,dn06,dn07,dn08,dn09,dn10,dn11,dn12,dn13,dn14,Coop,Lead,O,C,E,A,N
dna512,4.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.7,4.0,3.0,4.0,3.8,3.2
dna513,1.0,5.0,2.0,4.0,3.0,2.0,4.0,2.0,5.0,1.0,5.0,3.0,1.0,2.0,3.0,3.7,3.6,3.8,4.2,3.6,4.0
dna515,3.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,1.0,2.0,,,,,,,
dna516,4.0,2.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,,,,,,,
dna519,3.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,,,,,,,
dna490,4.0,2.0,4.0,2.0,3.0,3.0,1.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,,,,,,,
dna498,3.0,2.0,4.0,4.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,,,,,,,
dna499,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,,,,,,,
dna503,3.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0,4.0,,,,,,,
dna504,2.0,5.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,,,,,,,
dna505,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,,,,,,,
dna506,4.0,4.0,2.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,,,,,,,
dna507,1.0,4.0,2.0,5.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,3.0,3.0,,,,,,,
dna509,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,,,,,,,
dna510,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,,,,,,,
dna511,4.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,,,,,,,
dna514,3.0,2.0,4.0,5.0,2.0,1.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,,,,,,,
dna517,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,,,,,,,
dna518,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,,,,,,,
dna520,1.0,4.0,2.0,5.0,2.0,2.0,4.0,2.0,3.0,1.0,4.0,4.0,3.0,3.0,,,,,,,
dna521,4.0,2.0,4.0,2.0,4.0,3.0,1.0,4.0,2.0,4.0,2.0,1.0,5.0,4.0,,,,,,,
dna522,2.0,5.0,1.0,4.0,2.0,4.0,4.0,1.0,2.0,2.0,4.0,5.0,2.0,2.0,,,,,,,
dna523,3.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,,,,,,,
dna524,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,,,,,,,
dna526,4.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,,,,,,,
dna528,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,
dna529,2.0,3.0,1.0,1.0,2.0,5.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,,,,,,,
dna530,3.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,,,,,,,
dna531,4.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,,,,,,,
dna532,3.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,,,,,,,
dna533,2.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,,,,,,,
dna534,3.0,5.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,5.0,5.0,1.0,2.0,,,,,,,
dna535,4.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,,,,,,,
dna537,4.0,2.0,4.0,1.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,2.0,,,,,,,
dna540,2.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,5.0,2.0,4.0,2.0,3.0,4.0,,,,,,,
dna541,4.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,2.0,3.0,5.0,,,,,,,
dna542,3.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,,,,,,,
dna544,5.0,2.0,4.0,2.0,4.0,3.0,1.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,,,,,,,
dna549,3.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,1.0,,,,,,,
dna552,4.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,,,,,,,
dna553,3.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,4.0,,,,,,,
dna554,5.0,3.0,4.0,2.0,5.0,3.0,1.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,,,,,,,
dna556,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,,,,,,,
dna571,1.0,3.0,4.0,4.0,4.0,1.0,5.0,4.0,5.0,2.0,5.0,2.0,3.0,4.0,,,,,,,
dna572,2.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,5.0,2.0,5.0,3.0,2.0,3.0,,,,,,,
dna573,3.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,,,,,,,
dna574,4.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,2.0,3.0,5.0,,,,,,,
dna575,4.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,,,,,,,
dna578,4.0,2.0,5.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,1.0,4.0,4.0,,,,,,,
dna579,1.0,5.0,2.0,4.0,3.0,1.0,3.0,2.0,5.0,1.0,4.0,3.0,1.0,2.0,,,,,,,
dna582,2.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,,,,,,,
dna588,3.0,1.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,4.0,2.0,,,,,,,
dna589,2.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,,,,,,,
dna612,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,,,,,,,
dna618,3.0,5.0,1.0,4.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,5.0,1.0,1.0,,,,,,,
dna628,3.0,4.0,3.0,5.0,2.0,2.0,4.0,3.0,5.0,2.0,4.0,5.0,2.0,2.0,,,,,,,
dna630,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,,,,,,,
dna631,3.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,,,,,,,
