Sample,dn01,dn02,dn03,dn04,dn05,dn06,dn07,dn08,dn09,dn10,dn11,dn12,dn13,dn14,Coop,Lead,O,C,E,A,N
DNA 238,3,4,2,3,3,4,2,2,4,2,4,4,1,2,3,3.666666667,3.6,4.2,3.8,3,1.8
DNA 239,3,2,4,5,2,1,3,4,3,2,3,3,4,4,5,4,4.6,3.2,3,4.2,2
DNA 242,5,2,4,3,4,4,2,4,2,5,2,3,5,4,4,4,3.6,4,4,3.6,3.4
DNA 243,1,3,4,4,4,1,3,4,5,2,5,2,3,4,4,3,4.2,4.4,2.6,3.6,3.6
DNA 245,3,2,4,4,3,2,4,4,4,3,3,3,3,3,2.5,4,3.6,3.6,3.2,3.6,3
DNA 246,2,4,3,4,3,2,4,3,4,2,4,3,3,3,2.5,3.333333333,3.4,4.8,3.2,4,3
DNA 247,4,1,5,3,4,2,4,5,3,4,2,1,5,4,4,2.666666667,3.6,3.8,2.6,3.4,3.2
DNA 248,3,5,2,4,3,3,3,2,4,2,4,5,1,2,3.5,4,3.6,3.4,3.8,3.6,2.2
DNA 249,2,3,3,3,3,1,3,3,5,2,3,3,2,2,3.5,3.666666667,3.4,1.6,4.2,2.8,2.6
DNA 250,3,2,4,5,2,2,4,4,3,3,3,3,4,4,5,4.666666667,3.4,3.2,2.8,3.8,3.8
DNA 252,3,2,3,1,3,5,3,3,2,4,2,2,3,2,3,4.666666667,4,3,3.6,3,3
DNA 254,2,2,3,4,2,1,3,3,3,1,2,3,3,2,3,4.333333333,3,2.8,4.2,2.4,2.8
DNA 258,2,4,3,4,3,1,3,3,5,1,3,3,2,2,3,2.333333333,3.2,3.4,2.4,3.2,3.8
DNA 266,3,3,4,3,4,4,4,4,4,5,4,2,4,4,3,3.333333333,2.8,2.6,2.2,3.8,3.2
DNA 269,4,1,4,3,4,2,4,4,4,4,3,1,4,3,3,4,3.8,4.4,3.4,3.8,2.4
DNA 272,4,2,4,4,2,3,5,4,4,4,3,3,3,2,1.5,3.666666667,3.6,3.2,3,3.2,3.6
DNA 273,2,4,3,4,3,2,4,3,5,2,4,3,2,2,2.5,4,4.6,3.6,3,2.8,3.2
DNA 278,2,3,4,4,4,2,4,4,4,3,4,2,3,4,3,3.333333333,3.4,4,3.4,3.2,3.4
DNA 279,2,4,4,4,4,2,4,4,5,3,5,2,3,4,2,4,4,3.2,3.4,3.8,1.4
DNA 280,2,2,4,3,4,2,4,4,4,3,3,1,3,3,2,3,2.8,3.2,3,3.2,3.6
DNA 282,1,5,1,4,2,4,4,1,2,2,4,5,2,2,4,4,4.4,3.4,3.6,5,3.6
DNA 283,3,3,3,4,2,3,3,3,2,3,3,4,3,3,4,4,4.6,2.4,4.8,5,1.8
DNA 285,2,3,1,1,2,5,3,1,2,2,2,3,2,1,3,5,4.6,3,4.8,2.4,3.8
DNA 286,2,5,2,5,2,2,4,2,5,2,5,5,1,2,1.5,4.666666667,4.6,3.2,4.8,4.4,2
DNA 287,4,2,4,2,5,4,2,4,3,5,3,1,4,4,5,3.333333333,3.2,3.2,2.2,4,3.6
DNA 288,3,2,4,5,2,1,3,4,3,2,3,3,4,4,3,2.666666667,4.6,4.6,3.2,2.2,2.2
DNA 289,5,3,4,1,5,4,2,4,3,4,2,3,3,3,5,4,4.8,2.8,4.4,4.6,2.4
DNA 291,4,2,4,4,3,4,4,4,2,5,3,3,4,4,5,3.333333333,4.6,3.8,1.4,5,3
DNA 292,4,2,5,3,4,3,3,5,2,5,3,1,5,4,4,3.666666667,3.4,2.6,2.6,3.2,3
DNA 295,3,4,3,4,3,2,2,3,2,2,3,3,3,4,4,3,3.6,3.8,2.2,4.8,2.6
DNA 296,5,1,5,5,3,2,4,5,3,5,3,3,5,4,3.5,2,3.4,4.2,1.6,4,3
DNA 3,3,2,4,4,4,1,3,2,3,3,3,1,5,5,2.5,4.666666667,4.4,4.2,3.8,3.8,2.6
DNA 300,4,3,4,3,5,2,2,4,4,4,3,1,3,4,3,2.666666667,3.8,1.8,2.6,3,4.2
DNA 301,4,4,2,1,3,5,3,2,1,4,3,3,3,2,4.5,3.333333333,4.4,2.8,4,4.4,2.8
DNA 302,3,3,4,4,4,2,4,4,5,3,4,2,3,3,3.5,3.666666667,3.8,4.2,3.2,3.6,2.4
DNA 304,2,2,3,3,2,2,4,3,3,2,2,3,3,2,3.5,3.333333333,3.2,3.8,3,4,2.4
DNA 305,3,1,4,3,2,2,4,4,3,3,2,2,4,2,3,3.333333333,4,3,3.8,4,2.2
DNA 307,4,2,3,4,2,2,2,3,2,2,1,5,3,2,3,3.666666667,4,4.2,2.6,3.6,3.8
DNA 309,3,3,3,3,3,4,2,3,2,3,3,3,3,4,4,3.333333333,3.4,3.8,2.2,3.8,3.4
dna 310,5,2,4,2,4,5,3,4,1,5,3,2,4,4,4,4.33333333,4.6,4,4.2,4,3.6
DNA 312,2,3,2,2,2,3,1,2,2,1,2,3,3,2,4,4,3.8,4.4,2.6,4,4
DNA 316,3,3,4,4,4,1,3,4,5,2,3,3,3,3,3,2.666666667,4.4,3.8,3.4,4,3.2
DNA 317,3,2,4,4,3,1,3,4,4,2,3,3,3,3,3,2.666666667,4,3.8,3.4,3.8,2
DNA 32,1,1,2,3,1,1,3,4,3,1,1,3,2,1,3.5,4,3.4,4.6,3.2,5,3.8
DNA 320,2,5,3,5,4,3,5,3,5,3,5,3,2,4,3.5,3.333333333,4,2.8,2.6,3.8,3.4
DNA 321,3,2,3,3,2,3,5,3,4,3,3,3,3,1,4,2.333333333,3.8,3.2,3.6,4,3
DNA 322,3,3,4,4,4,2,4,4,5,3,4,3,3,3,2.5,4.333333333,4.6,4.4,3.6,2.6,2.8
DNA 330,3,2,4,3,4,3,5,4,5,4,4,2,3,2,2.5,3.333333333,4.2,3.6,2.8,3,2.6
DNA 331,3,2,4,3,4,3,5,4,5,4,4,2,3,2,0,0,0,0,0,0,0
DNA 332,3,2,4,3,4,3,5,4,5,4,4,2,3,2,3,2,3.6,3.4,2.4,2.8,2.8
DNA 335,1,4,2,3,3,2,4,2,5,2,4,3,1,2,3,3.333333333,3,3.2,3.2,3.4,3.8
DNA 336,2,5,3,5,4,1,3,3,5,1,5,3,2,4,2.5,4.666666667,3,2.4,5,1.8,2.4
DNA 337,2,4,3,4,3,2,4,3,4,2,4,3,3,3,3.5,3.666666667,3,2.8,3,3.4,2.8
DNA 338,2,4,1,3,2,2,2,1,2,1,2,4,2,2,2.5,2.666666667,4.6,5,3.2,3.2,3
DNA 339,3,2,4,4,2,1,3,4,3,2,2,3,4,3,3.5,4,5,3.8,4.4,4,4
DNA 34,4,3,5,5,4,1,3,1,1,4,3,4,4,4,5,2.666666667,4,4,3.8,4.2,2.8
DNA 341,3,3,4,3,4,3,3,4,3,4,3,2,3,4,4,3,2,3.4,2.8,3.2,3.6
DNA 342,4,1,4,3,2,3,5,4,3,5,2,2,5,2,3.5,2.666666667,3.4,3.8,1.8,3.2,3.6
DNA 343,4,1,4,4,3,2,4,4,4,4,3,3,4,3,3,2.666666667,2.6,2.4,3,3.4,2.2
DNA 346,3,3,3,3,3,4,2,3,2,3,3,3,3,4,5,3.666666667,4.2,4,4.8,3.8,1.8
DNA 347,3,3,3,4,3,2,2,3,2,2,3,3,3,4,4,3.666666667,4.6,3.8,3,3.2,4.2
DNA 348,4,2,4,3,4,2,2,4,2,3,2,2,4,4,5,2.666666667,4.6,3.4,2.4,3.4,2.2
DNA 349,3,4,1,1,2,3,1,1,1,1,1,4,2,2,3,4.333333333,4.4,2,4.6,4.8,2
DNA 350,4,1,4,1,4,4,2,4,2,5,2,1,5,4,3,3.333333333,4.4,4.6,2.4,3.6,3.6
DNA 355,4,2,4,1,5,5,3,4,3,5,3,1,4,4,3.5,3,3.8,3.2,3.6,4.2,4.4
DNA 356,2,3,4,5,3,1,3,4,3,2,3,3,4,4,3,4.333333333,4,4.2,4,4.4,3.4
DNA 357,2,5,2,3,4,3,3,2,4,2,4,3,1,2,3.5,3.666666667,4.4,3.4,3.6,3.2,2.4
DNA 358,2,3,4,5,3,3,5,4,3,4,5,3,4,4,5,5,4.4,4,4,4.6,1.6
DNA 359,3,3,3,3,3,2,1,3,2,2,2,3,3,4,5,3.333333333,4.6,1.8,4.2,4.8,2
DNA 36,2,3,3,3,2,3,3,3,4,3,2,4,3,2,3.5,3,3.6,4.4,3.2,3.4,2.4
DNA 362,4,2,4,4,2,1,3,4,4,2,2,3,3,2,3.5,4,3.2,3.8,2.6,3.4,3
DNA 363,2,4,3,4,4,1,3,3,5,1,4,3,2,3,2.5,3,3.8,3.8,3,3.4,3.5
DNA 366,2,5,1,3,3,3,1,1,3,1,4,5,1,2,3.5,4.333333333,4.8,1.6,2.6,3.8,4.8
DNA 368,3,2,4,4,2,2,4,4,3,3,2,3,4,3,4,2,2.8,2.8,2.5,4.2,2.6
DNA 369,2,3,1,3,1,3,3,1,2,2,2,5,2,1,4.5,5,3.4,3.4,4.2,3.8,4.6
DNA 370,3,2,3,2,2,3,3,3,2,3,1,3,3,2,4,4.333333333,3.8,4.2,4.2,4.2,3.6
DNA 371,2,3,4,5,3,1,3,4,3,2,3,3,4,4,4,4.333333333,4.8,3.4,3.2,3.4,3
DNA 372,4,2,3,1,3,3,1,3,4,2,1,3,2,1,3,3.333333333,3.4,4.4,3.2,3.4,3
DNA 374,2,3,2,4,1,1,3,2,3,1,2,4,3,2,3,3.333333333,3.4,4,3.4,3.2,3
DNA 376,3,2,4,4,3,3,5,4,4,4,4,3,3,3,2,5,4.8,4,4.6,4,2.6
DNA 377,3,4,2,3,3,2,2,2,4,1,3,4,1,2,4.5,4.333333333,4.2,3.6,3.6,4.2,2.4
DNA 378,2,5,1,1,2,4,2,1,2,2,3,5,1,1,2.5,4.333333333,3.8,4.4,3.8,4.2,3.6
DNA 379,4,2,5,4,5,2,4,5,5,5,5,1,4,5,3,3.666666667,3.2,3,3.8,1.8,2.2
DNA 380,4,1,5,4,4,2,4,5,3,5,3,1,5,4,4,4.333333333,3.8,4.2,2.8,3.2,2.6
DNA 381,4,2,3,4,2,3,3,3,2,3,2,5,3,2,3.5,3.666666667,4.8,3.4,2.8,4.4,4
DNA 382,5,2,4,1,4,4,2,4,1,5,1,3,4,3,4.5,4.333333333,4.6,4.8,3.8,4.4,3.2
DNA 383,3,3,3,3,3,4,4,3,2,4,3,3,3,3,3,3.333333333,4.4,2.6,3.8,4.4,2.8
DNA 384,3,3,3,3,3,2,2,3,2,2,2,3,3,3,2.5,4.333333333,4.4,2.8,4.4,2.8,4
DNA 385,4,3,3,3,2,3,1,3,2,2,2,4,3,3,4,4,4.8,2.6,3.4,3.8,3.2
DNA 386,4,4,4,3,5,4,2,4,4,4,5,3,3,4,3,4.333333333,4.8,4.2,3.4,4.8,2.4
DNA 388,4,4,2,3,3,4,2,2,1,3,2,4,3,3,5,4.333333333,4.4,4.8,3.2,4.4,3.2
DNA 389,5,1,4,3,4,2,2,4,2,4,1,2,5,4,4.5,4,4.4,4.4,4.2,4,3.6
DNA 390,3,3,3,2,4,4,2,3,3,3,3,3,3,3,3,4.666666667,3.2,3.6,3.6,3,2.6
DNA 392,4,1,5,3,5,3,5,5,5,5,4,1,4,4,4,3.333333333,3.6,4.2,3,4,3.2
DNA 393,2,3,3,3,3,2,4,3,5,2,3,3,2,2,3.5,3.666666667,3.6,3.4,3.4,3.6,3.2
DNA 394,5,1,5,4,4,3,5,5,5,5,4,2,4,4,3,4.666666667,4.6,3.6,4.8,4.4,2.4
DNA 395,4,1,5,4,5,1,4,5,5,4,4,1,5,5,3.5,4,4.6,2.8,3,3.8,4.4
DNA 398,4,2,4,3,4,3,5,4,5,4,4,1,3,3,4.5,3.333333333,4.2,4,3.5,5,1.4
DNA 399,5,1,5,3,4,2,4,5,4,5,2,1,5,3,2,3,3.4,4,2.6,3.6,2.6
DNA 402,5,2,5,5,4,2,4,5,5,4,4,3,4,4,3,3.666666667,3.6,3.2,3.6,2.5,2.8
DNA 406,3,4,3,3,4,4,2,3,3,3,4,3,3,4,4,4.33333,4.8,4,3.6,4.8,1.6
DNA 408,2,3,4,5,4,3,5,4,5,4,5,3,3,4,5,4.333333333,4.8,4.4,3.4,4.8,2
DNA 413,3,3,3,4,2,1,3,3,5,1,2,4,2,2,4,2.333333333,3.8,2.6,3.2,3,3.4
DNA 414,2,3,3,5,2,1,3,3,5,1,4,4,2,2,2,4,3.6,2.8,2,3.6,4.8
DNA 421,4,2,4,5,4,2,4,4,4,4,4,3,4,4,4,3.666666667,3.6,3,3.6,3.6,3.2
DNA 423,4,3,3,2,4,3,1,3,4,2,2,3,2,2,3,3,3.8,3.2,3,3.4,2.2
DNA 424,2,4,2,1,4,3,3,2,4,2,3,3,1,2,2.5,3.666666667,2.8,2.2,3.2,3.4,3.4
DNA 425,3,3,3,2,4,2,1,3,3,2,2,3,3,3,2.5,2.666666667,4,3.8,3.4,3,3.2
DNA 426,2,5,1,4,2,3,3,1,4,2,4,5,1,2,3,4.333333333,4.2,4.6,3.4,3.6,3.2
DNA 427,4,2,4,4,3,2,4,4,5,3,3,3,3,2,4,3,3.8,3.4,2.2,3.6,2
DNA 428,2,4,3,4,4,1,3,3,5,1,4,3,2,3,3,4.333333333,4.2,3.8,3.2,4.2,3.2
DNA 431,3,2,4,4,2,2,4,4,3,3,3,3,4,3,3.5,3.33333333,4,3.8,3.2,4,1.2
DNA 433,3,2,4,3,4,2,4,4,5,3,3,2,3,2,3,1.66666667,3.4,2.4,2.4,2.6,3
DNA 434,3,2,4,3,3,2,4,4,4,3,2,2,3,2,3,3.33333333,3.2,2.6,2.6,3.4,2.6
DNA 439,4,2,5,4,5,2,4,5,5,5,4,1,4,4,3,4,4.4,3.6,3,2.4,2.8
DNA 440,4,2,4,4,2,1,3,4,4,2,2,3,3,2,2,3,2.4,4,1.6,3,2.8
DNA 47,4,2,5,3,4,2,3,1,4,4,2,2,5,5,4,4.333333333,4.2,3.6,4.6,4.2,2.8
DNA 52,3,5,3,4,4,2,2,3,2,2,4,5,2,4,3,4,4,4,2.8,4.6,3.6
DNA 57,1,3,1,3,2,3,2,5,5,1,4,3,2,2,4,4.333333333,5,4.6,3.6,4,3.8
DNA 7,3,3,4,5,4,4,5,2,3,5,5,2,5,5,5,3.333333333,2.6,2.8,1.4,5,3.4
DNA 9,3,3,3,3,3,4,2,3,2,3,3,3,3,4,4,4,4.6,3.8,4.8,4.2,3.2
DNA 94,3,5,1,3,2,4,2,1,1,2,3,5,2,2,3.5,4.333333333,5,4.6,3.8,3.2,3.8
DNA Nathalie,3,3,4,5,4,4,5,2,3,5,5,2,5,5,0,0,0,0,0,0,0
DNA 387,2,3,1,1,2,5,3,1,2,2,2,3,2,1,2,4.666666667,4.6,2.6,4.8,4,3.6
DNA 391,2,4,4,4,4,1,3,4,5,2,4,2,3,4,3,3.333333333,4.6,4.4,4,4,2.4
DNA 4,2,4,1,3,1,3,2,5,5,1,2,5,2,2,4,4.333333333,5,3.4,4.4,4.2,3.2
DNA 407,4,2,5,4,4,2,2,5,2,4,3,2,5,5,5,3.333333333,3.8,2.2,4.4,4.8,1.6
DNA 412,2,5,1,3,2,2,2,1,4,1,3,5,1,1,4,3.666666667,3.2,2.8,3.8,3.4,3
DNA 430,5,1,4,2,4,3,1,4,2,4,1,2,5,4,3.5,4.666666667,4.6,3,3.4,3.4,5
DNA 436,4,3,3,3,2,2,1,3,2,2,2,4,3,3,5,4,4.4,3.6,2.4,4.8,3
DNA 437,4,3,4,3,5,4,4,4,4,5,5,1,3,4,4.5,3.666666667,3,3,3.2,3.6,3.4
DNA 438,4,4,2,3,3,5,3,2,1,4,3,4,3,3,3,3.333333333,4.4,3.4,3,4,3.2
DNA 442,3,3,4,4,4,2,2,4,2,3,3,2,4,4,3.5,4.666666667,4,3.6,4,4.8,4.4
DNA 445,3,4,3,4,4,2,2,3,3,2,3,3,3,4,5,3,3.6,3.6,3.2,4.6,4.2
DNA 446,3,2,4,4,4,1,3,4,3,3,3,1,5,4,3,3.666666667,4.4,3.2,3.8,3.6,4
DNA 447,2,3,4,3,4,2,4,4,5,3,4,1,3,3,4,3.666666667,4.6,2.2,3.6,4.8,5
DNA 449,2,4,3,5,3,1,3,3,5,1,4,4,2,3,3.5,3.666666667,2.8,3,3.4,3,2.8
DNA 450,3,4,4,5,4,1,3,4,5,2,4,3,3,4,2.5,4,4,4,3.6,3.2,3.4
DNA 451,2,5,3,5,4,2,4,3,5,2,5,3,2,4,3,3.333333333,4,3.6,3.4,3.4,2.8
DNA 454,1,4,2,4,2,1,3,2,3,1,3,3,3,2,5,4,2.4,2.4,3.8,4.8,2.6
DNA 457,2,4,1,2,2,2,1,1,3,1,2,4,1,1,2,4,3.2,3.6,2.6,3.8,3
DNA 458,5,2,4,3,4,4,2,4,2,5,3,3,5,4,4,4.333333333,4.2,3.4,3.6,4.2,2.4
DNA 459,2,4,2,5,1,1,3,2,3,1,2,5,3,2,4.5,4,4.4,2.8,2.8,4,1.8
DNA 462,2,5,3,5,4,2,4,3,5,2,5,3,2,4,4,3.666666667,4.2,4,3,4.4,4.4
DNA 463,3,3,2,1,3,3,1,2,4,1,2,3,1,1,2.5,4.333333333,2.8,3.8,3.8,2.8,3.4
DNA 464,4,1,4,3,3,2,4,4,3,4,2,1,5,3,4,3.666666667,3.8,3.6,2.6,3.4,3.2
DNA 465,4,1,4,3,2,1,3,4,4,2,1,3,3,2,3,3.666666667,3.4,3.6,3.6,3.2,3.2
DNA 466,3,2,4,4,2,2,4,4,3,3,3,3,4,3,3,3.333333333,3.4,4.2,3,3.4,2.6
DNA 108,3,2,3,2,4,2,3,4,4,3,3,1,2,3,5,3.33,4.2,4,4,2.8,4.2
DNA 109,3,2,4,5,3,1,3,4,3,3,4,2,4,4,4,2.666666667,4.6,3.2,2.8,4.8,3
DNA 111,1,3,3,5,2,1,3,4,3,1,4,2,4,4,2.5,2.333333333,4,3,1.4,3.4,4
DNA 112,2,4,2,1,2,2,2,2,4,1,2,3,1,1,2,4.333333333,3.6,3,4.8,4.4,1.6
DNA 115,3,5,2,4,4,3,3,3,3,3,5,3,1,3,4.5,4.666666667,4.4,4.4,3,4,3
DNA 117,1,3,3,5,2,1,3,4,3,1,4,2,4,4,4.5,4.333333333,5,3.2,2,2.4,1
DNA 119,1,3,2,4,2,2,4,3,3,2,3,2,3,2,5,3.666666667,4.6,4.6,3.2,4,3.8
DNA 121,2,4,2,2,3,4,5,2,4,3,5,2,1,1,4,3.333333333,4.2,3.6,3,3.4,2.4
DNA 123,3,2,3,2,3,4,3,3,1,3,3,1,3,3,4.5,3,3.6,4.2,2.2,3.8,2.6
DNA 125,4,3,2,3,2,4,2,3,1,3,2,4,3,3,4,4,4.6,4.8,3.4,4.2,3
DNA 127,2,3,3,4,2,3,4,3,2,3,4,3,3,3,3.5,4,4,1.8,4.4,4,1.4
DNA 129,1,2,2,2,2,2,4,3,3,2,3,2,3,2,4,3.666666667,3.4,3.4,2.2,2.6,2.6
DNA 130,2,2,3,3,2,3,4,3,2,3,3,2,3,3,3,3.666666667,4,3,2.6,3.6,3.25
DNA 131,3,1,5,4,4,1,4,5,4,3,4,1,5,4,4,4.333333333,4,3.6,4.2,3.4,2.8
DNA 132,3,2,3,1,4,4,3,3,2,3,2,1,2,2,4,3.666666667,4.6,4.6,4,4.2,4.4
DNA 133,4,2,5,4,5,3,4,5,4,5,5,1,4,5,2.5,4,4.2,4,2,4,3.8
DNA 134,1,4,2,5,2,3,5,3,3,2,5,3,3,3,0,0,0,0,0,0,0
DNA 136,3,4,3,5,3,2,4,3,4,3,5,3,2,3,4.5,4.333333333,4.2,4,1.6,2.8,3.4
DNA 137,2,1,4,4,2,2,5,5,3,3,4,1,5,4,4,4,2.8,4,3.8,4.6,3.8
DNA 138,3,1,3,2,3,3,4,4,2,3,2,1,4,3,3,4.333333333,3.4,3.4,2.4,2.8,2.4
DNA 139,4,2,4,4,4,2,3,4,2,3,3,1,4,4,4,4,4.6,3.6,3,4.4,2.6
DNA 140,5,1,5,3,4,2,2,5,2,4,2,1,5,4,2,4,4.4,2.6,2.4,3.6,3
DNA 142,3,1,5,5,4,2,5,5,3,5,5,1,5,5,5,2.666666667,4.8,2.2,3.2,2.6,3.4
DNA 143,3,1,4,4,3,1,3,4,3,3,3,1,4,4,3,4,4,2.4,4.4,2.8,3.6
DNA 144,5,1,4,2,4,3,2,5,1,4,1,1,5,4,4,2.666666667,4.4,4.6,2.2,4.6,4.2
DNA 145,4,3,2,2,2,5,2,4,5,3,1,5,2,1,4.5,5,5,2.6,4.4,4.4,3.6
DNA 146,2,4,2,5,2,3,5,3,4,3,5,4,1,2,2.5,3.333333333,3.2,3.2,3,4.2,2.4
DNA 147,4,1,4,4,2,2,4,4,3,3,2,2,4,2,2.5,2.666666667,3.8,4.2,3,3.2,3.4
DNA 148,3,2,5,4,5,2,4,5,4,4,5,1,3,4,4.5,2,3,2.2,3.2,2.8,3
DNA 149,3,1,4,2,4,2,4,4,4,3,4,1,3,2,3.5,2.666666667,2.8,3.8,3.4,2.4,1
DNA 152,1,4,2,2,3,4,5,3,4,3,5,2,1,2,4.5,3.666666667,3.4,4.6,2.6,3.2,3.8
DNA 153,4,1,5,5,4,1,3,5,3,4,4,1,5,5,5,2.666666667,4.4,3.4,2.8,4,4.2
DNA 154,5,1,4,2,4,3,2,5,1,4,2,1,5,4,3.5,3.666666667,3.8,3.6,4.2,2.4,4
DNA 155,4,1,4,3,3,3,3,4,2,4,2,1,4,3,3,3.666666667,3.8,3.4,3,4,2.8
DNA 156,2,3,1,2,2,4,3,2,1,2,3,3,2,2,2,4,3.6,3,2.8,4.8,3.2
DNA 55,4,3,4,3,5,3,2,4,3,3,4,1,3,4,4,3.666666667,4,3.4,3.2,2.6,2.8
DNA 59,5,1,5,4,3,4,3,5,2,5,2,2,5,4,3.5,4.333333333,4.6,4.2,3.2,3.8,3
DNA 84,4,1,5,4,4,2,4,5,3,5,4,1,5,5,5,3.666666667,4.6,2.8,4.2,4.4,3.8
DNA 85,4,1,2,1,1,3,3,3,2,3,1,3,3,1,3.5,3,3.8,3.6,2.4,3.6,3.6
DNA 86,5,1,4,1,2,4,3,4,1,4,1,1,4,2,3.5,2.666666667,3.2,3.4,2.4,3.8,3.8
DNA 95,4,2,5,5,5,4,5,5,4,5,5,1,4,5,4,4.666666667,4.8,4.6,3.6,3.2,1.2
DNA 97,3,1,5,4,4,1,4,5,5,3,4,1,4,4,4,2,3.2,3.4,2.4,4,2.8
DNA 100,3,2,3,2,3,5,4,3,2,4,4,2,3,3,4,3,4.2,4,1.8,3,4.2
DNA 101,4,2,3,3,4,4,3,4,1,4,3,2,4,4,0,0,3.4,3,3,3.4,3
DNA 102,2,3,2,3,2,3,4,2,2,2,3,3,2,2,3.5,4,3.8,4.8,2.6,2.6,3.2
DNA 103,4,1,4,3,3,3,4,4,2,4,2,1,4,3,3,4,4,3,3.6,4.2,3
DNA 104,3,5,1,3,2,3,1,1,3,1,3,5,1,1,4,3.3,3.6,4.8,2.2,4.4,2.6
DNA 105,4,3,4,4,4,3,3,4,3,4,4,2,3,4,2.5,3.3,3.8,4.4,1.6,3,2.2
DNA 106,5,1,3,2,2,3,2,3,1,3,1,3,3,2,4.5,4.7,5,4.6,4.2,3,2.6
DNA 107,3,1,4,4,2,2,4,4,3,3,3,2,4,3,4.5,3.3,3.8,4.8,1.8,3.8,3.6
DNA 114,1,2,3,4,2,2,4,3,4,2,2,3,4,3,2.5,4.333333333,3.8,4.4,3,3.8,3.6
DNA 46,5,1,5,3,4,3,4,5,2,5,2,1,5,4,5,3.666666667,3.4,4.8,2.2,4.4,2.6
